"Date","ASX200.Adjusted"
"2000-01-03",3093.69995117188
"2000-01-04",3018.69995117188
"2000-01-05",2999.30004882812
"2000-01-06",3023.39990234375
"2000-01-09",3084
"2000-01-10",3160.80004882812
"2000-01-11",3088.39990234375
"2000-01-12",3078.89990234375
"2000-01-13",3115.39990234375
"2000-01-16",3121.5
"2000-01-17",3128
"2000-01-18",3080.5
"2000-01-19",3112.5
"2000-01-20",3073.39990234375
"2000-01-23",3069.69995117188
"2000-01-24",3048.69995117188
"2000-01-25",NA
"2000-01-26",3051.39990234375
"2000-01-27",3064.60009765625
"2000-01-30",3080.19995117188
"2000-01-31",3072.30004882812
"2000-02-01",3110.30004882812
"2000-02-02",3142.39990234375
"2000-02-03",3118.69995117188
"2000-02-06",3136.89990234375
"2000-02-07",3134.60009765625
"2000-02-08",3149.89990234375
"2000-02-09",3192.30004882812
"2000-02-10",3167.30004882812
"2000-02-13",3122.19995117188
"2000-02-14",3152.30004882812
"2000-02-15",3150.39990234375
"2000-02-16",3140.80004882812
"2000-02-17",3114.89990234375
"2000-02-20",3114.89990234375
"2000-02-21",3097
"2000-02-22",3101.10009765625
"2000-02-23",3099.60009765625
"2000-02-24",3111.19995117188
"2000-02-27",3106.69995117188
"2000-02-28",3124.60009765625
"2000-02-29",3187.19995117188
"2000-03-01",3219.80004882812
"2000-03-02",3232.60009765625
"2000-03-05",3214
"2000-03-06",3232.5
"2000-03-07",3207.89990234375
"2000-03-08",3188
"2000-03-09",3189.30004882812
"2000-03-12",3185.89990234375
"2000-03-13",3178.69995117188
"2000-03-14",3159.69995117188
"2000-03-15",3171.80004882812
"2000-03-16",3200.39990234375
"2000-03-19",3237.69995117188
"2000-03-20",3248.80004882812
"2000-03-21",3276.39990234375
"2000-03-22",3248.80004882812
"2000-03-23",3251.5
"2000-03-27",3227.89990234375
"2000-03-28",3230.19995117188
"2000-03-29",3225.89990234375
"2000-03-30",3194.10009765625
"2000-03-31",3133.30004882812
"2000-04-03",3191
"2000-04-04",3176.80004882812
"2000-04-05",3155.39990234375
"2000-04-06",3157.10009765625
"2000-04-07",3182
"2000-04-10",3201.39990234375
"2000-04-11",3173
"2000-04-12",3148.69995117188
"2000-04-13",3099.69995117188
"2000-04-14",3111.89990234375
"2000-04-17",2943.89990234375
"2000-04-18",3010.30004882812
"2000-04-19",3069.19995117188
"2000-04-20",NA
"2000-04-21",NA
"2000-04-24",NA
"2000-04-25",NA
"2000-04-26",3117.30004882812
"2000-04-27",3106.30004882812
"2000-04-28",3115.80004882812
"2000-05-01",3102
"2000-05-02",3131.10009765625
"2000-05-03",3107.5
"2000-05-04",3053.80004882812
"2000-05-05",3107.19995117188
"2000-05-08",3106.19995117188
"2000-05-09",3086.10009765625
"2000-05-10",3043.39990234375
"2000-05-11",2996.39990234375
"2000-05-12",3034.80004882812
"2000-05-15",3051.10009765625
"2000-05-16",3089.19995117188
"2000-05-17",3074.80004882812
"2000-05-18",3044.89990234375
"2000-05-19",3039.10009765625
"2000-05-22",3002.30004882812
"2000-05-23",3021.39990234375
"2000-05-24",3009.5
"2000-05-25",3018.10009765625
"2000-05-26",3000.69995117188
"2000-05-29",3035.10009765625
"2000-05-30",3050.60009765625
"2000-05-31",3081
"2000-06-01",3088
"2000-06-02",3140.89990234375
"2000-06-05",3148.80004882812
"2000-06-06",3149.89990234375
"2000-06-07",3112.60009765625
"2000-06-08",3126.69995117188
"2000-06-09",3146.5
"2000-06-12",NA
"2000-06-13",3113.80004882812
"2000-06-14",3118.19995117188
"2000-06-15",3133.10009765625
"2000-06-16",3140.80004882812
"2000-06-19",3151.10009765625
"2000-06-20",3155.19995117188
"2000-06-21",3178.39990234375
"2000-06-22",3173.60009765625
"2000-06-23",3177.10009765625
"2000-06-26",3177.80004882812
"2000-06-27",3190.10009765625
"2000-06-28",3213.89990234375
"2000-06-29",3254.5
"2000-06-30",3311.19995117188
"2000-07-03",3308.10009765625
"2000-07-04",3310.10009765625
"2000-07-05",3320.5
"2000-07-06",3306.89990234375
"2000-07-07",3305.30004882812
"2000-07-10",3323.80004882812
"2000-07-11",3323.30004882812
"2000-07-12",3318.39990234375
"2000-07-13",3306.5
"2000-07-14",3303.5
"2000-07-17",3313.39990234375
"2000-07-18",3300.60009765625
"2000-07-19",3299.60009765625
"2000-07-20",3300.89990234375
"2000-07-21",3332.30004882812
"2000-07-24",3305.39990234375
"2000-07-25",3282.10009765625
"2000-07-26",3282.89990234375
"2000-07-27",3258.19995117188
"2000-07-28",3255
"2000-07-31",3251.10009765625
"2000-08-01",3254
"2000-08-02",3270.30004882812
"2000-08-03",3275.10009765625
"2000-08-04",3277.19995117188
"2000-08-07",3305
"2000-08-08",3302.30004882812
"2000-08-09",3309.80004882812
"2000-08-10",3315.30004882812
"2000-08-11",3309.10009765625
"2000-08-14",3314.89990234375
"2000-08-15",3323.10009765625
"2000-08-16",3331.80004882812
"2000-08-17",3336.30004882812
"2000-08-18",3344.19995117188
"2000-08-21",3338.89990234375
"2000-08-22",3353.39990234375
"2000-08-23",3364.39990234375
"2000-08-24",3372.39990234375
"2000-08-25",3367.39990234375
"2000-08-27",3363.89990234375
"2000-08-28",3369.39990234375
"2000-08-29",3357.80004882812
"2000-08-30",3297.80004882812
"2000-08-31",3331.69995117188
"2000-09-03",3347.30004882812
"2000-09-04",3347.30004882812
"2000-09-05",3321.19995117188
"2000-09-06",3306.60009765625
"2000-09-07",3320.30004882812
"2000-09-10",3297.10009765625
"2000-09-11",3324
